n_digits;median(ns);min(ns);max(ns)
634;2284275;10899;2368796
635;2303152;11288;2366915
636;2387876;11572;2456181
637;2386587;11230;2431697
638;2412276;2379145;2462188
639;2403409;11281;2448534
640;2393321;11431;2452277
641;2405198;11321;2583882
642;2440542;2398455;2932247
643;2411098;2391939;2537726
644;2413811;11618;2469362
645;11989;11327;2443000
646;2433227;2376009;2555218
647;2428397;2406501;2495165
648;2434525;11619;2504475
649;12105;11540;2507158
650;2463575;11414;2489713
651;2450338;2423822;2521130
652;2499798;2436984;4320975
653;2459128;2433286;2529565
654;2462774;11682;2800330
655;1238563;11549;2556175
656;2556166;11621;2666592
657;2575824;11514;2616979
658;2569741;11269;2624447
659;2578540;11684;2650924
660;2603162;12005;2693071
661;2587099;11581;2645932
662;2609485;2548836;2651509
663;2595614;11446;2671604
664;2607551;11481;2640663
665;2615539;2585705;2675662
666;2616472;11686;2695058
667;2634784;11969;4047974
668;13600;11804;2761099
669;2629403;12031;2680949
670;2631104;11898;2710676
671;2639972;11795;2667175
672;2631867;12096;2714158
673;2642760;11701;2689323
674;2645228;11794;2685276
675;2758957;12144;2840648
676;2761931;12351;2780201
677;2756913;11819;2817835
678;2779566;12367;3111147
679;2774386;2731283;2888378
680;2779410;12241;2843585
681;2790068;12641;2816033
682;2794846;12166;2823761
683;2792533;2753601;2867964
684;2809138;2747281;2878925
685;2795388;12181;2897504
686;2801150;2763953;2872394
687;2807083;12302;2847521
688;2802842;2753313;3237001
689;2814872;12234;2901856
690;2831132;2762421;2875462
691;2828948;2800958;2902073
692;2844277;2783372;2934204
693;2831978;12308;2897395
694;2853650;2808226;2886212
695;3006852;12568;3128993
696;2992299;12324;3057527
697;3023363;2874776;3154667
698;3018630;12147;3066262
699;3042302;2990749;3820693
700;3029780;12704;3082280
701;13398;12699;3103855
702;3040545;13151;3102174
703;3051517;12677;3152755
704;3047438;3021668;3119427
705;12905;12379;3093550
706;13671;12577;3196649
707;3083648;3013556;3103740
708;3066463;12931;3192186
709;3076292;3040505;3602213
710;3073727;12566;3125986
711;3079062;3011898;3144879
712;3088412;3056249;3144091
713;3095583;12866;3786474
714;3234914;3162283;3324445
715;3247675;13934;3317133
716;3241549;12877;3326423
717;3252876;3191082;3392401
718;3256964;13333;3335439
719;3275024;12925;3353891
720;3267014;3180171;3389233
721;3259075;3172211;3336083
722;3264833;3232649;3300831
723;3262176;12747;3356400
724;3255723;12849;3385521
725;3263496;12625;3342112
726;3259488;13003;3383186
727;3301452;13070;3376524
728;3302995;13063;3348977
729;3311260;12976;3809158
730;3281756;12600;3352710
731;3316197;3260006;3366973
732;3313848;13244;3376644
733;3480513;12960;3606992
734;3512977;13172;3578350
735;3507826;13128;3634140
736;3529480;12935;3567164
737;3532507;3483373;3580324
738;3535295;3501425;3579665
739;3510286;13235;3591441
740;3543512;3516087;3587369
741;3528310;13657;3690191
742;3547747;13426;3613379
743;14579;13095;3614763
744;3538681;13714;3606547
745;3559815;13375;3631316
746;3570061;13646;3668971
747;3567375;3544927;3616702
748;3557571;13019;3632783
